Região,Ano,Faixa_Etaria,Obitos
Sudeste,1995,15 a 19 anos,47
Nordeste,1996,15 a 19 anos,47
Nordeste,1997,15 a 19 anos,55
Nordeste,1998,15 a 19 anos,60
Nordeste,1999,15 a 19 anos,57
Nordeste,2000,15 a 19 anos,77
Nordeste,2001,15 a 19 anos,80
Nordeste,2002,15 a 19 anos,78
Nordeste,2003,15 a 19 anos,85
Nordeste,2004,15 a 19 anos,67
Nordeste,2005,15 a 19 anos,98
Nordeste,2006,15 a 19 anos,82
Nordeste,2007,15 a 19 anos,80
Nordeste,2008,15 a 19 anos,80
Nordeste,2009,15 a 19 anos,73
Nordeste,2010,15 a 19 anos,74
Nordeste,2011,15 a 19 anos,80
Nordeste,2012,15 a 19 anos,71
Nordeste,2013,15 a 19 anos,63
Nordeste,2014,15 a 19 anos,65
Nordeste,2015,15 a 19 anos,71
Nordeste,2016,15 a 19 anos,75
Nordeste,2017,15 a 19 anos,68
Nordeste,2018,15 a 19 anos,71
Nordeste,2019,15 a 19 anos,65
Nordeste,2020,15 a 19 anos,63
Nordeste,2021,15 a 19 anos,51
Nordeste,2022,15 a 19 anos,62
Sudeste,1996,15 a 19 anos,121
Sudeste,1997,15 a 19 anos,126
Sudeste,1998,15 a 19 anos,106
Sudeste,1999,15 a 19 anos,127
Sudeste,2000,15 a 19 anos,125
Sudeste,2001,15 a 19 anos,119
Sudeste,2002,15 a 19 anos,117
Sudeste,2003,15 a 19 anos,112
Sudeste,2004,15 a 19 anos,124
Sudeste,2005,15 a 19 anos,133
Sudeste,2006,15 a 19 anos,107
Sudeste,2007,15 a 19 anos,102
Sudeste,2008,15 a 19 anos,110
Sudeste,2009,15 a 19 anos,99
Sudeste,2010,15 a 19 anos,109
Sudeste,2011,15 a 19 anos,102
Sudeste,2012,15 a 19 anos,106
Sudeste,2013,15 a 19 anos,99
Sudeste,2014,15 a 19 anos,97
Sudeste,2015,15 a 19 anos,88
Sudeste,2016,15 a 19 anos,88
Sudeste,2017,15 a 19 anos,94
Sudeste,2018,15 a 19 anos,86
Sudeste,2019,15 a 19 anos,81
Sudeste,2020,15 a 19 anos,67
Sudeste,2021,15 a 19 anos,71
Sudeste,2022,15 a 19 anos,75
Nordeste,1979,20 a 29 anos,156
Nordeste,1980,20 a 29 anos,176
Nordeste,1981,20 a 29 anos,174
Nordeste,1982,20 a 29 anos,163
Nordeste,1983,20 a 29 anos,142
Nordeste,1984,20 a 29 anos,195
Nordeste,1985,20 a 29 anos,158
Nordeste,1986,20 a 29 anos,164
Nordeste,1987,20 a 29 anos,171
Nordeste,1988,20 a 29 anos,147
Nordeste,1989,20 a 29 anos,178
Nordeste,1990,20 a 29 anos,192
Nordeste,1991,20 a 29 anos,166
Nordeste,1992,20 a 29 anos,168
Nordeste,1993,20 a 29 anos,201
Nordeste,1994,20 a 29 anos,195
Nordeste,1995,20 a 29 anos,183
Sudeste,1979,20 a 29 anos,32
Sudeste,1980,20 a 29 anos,48
Sudeste,1981,20 a 29 anos,51
Sudeste,1982,20 a 29 anos,49
Sudeste,1983,20 a 29 anos,50
Sudeste,1984,20 a 29 anos,42
Sudeste,1985,20 a 29 anos,55
Sudeste,1986,20 a 29 anos,53
Sudeste,1987,20 a 29 anos,57
Sudeste,1988,20 a 29 anos,75
Sudeste,1989,20 a 29 anos,63
Sudeste,1990,20 a 29 anos,56
Sudeste,1991,20 a 29 anos,61
Sudeste,1992,20 a 29 anos,58
Sudeste,1993,20 a 29 anos,62
Sudeste,1994,20 a 29 anos,68
Sudeste,1995,20 a 29 anos,74
Nordeste,1996,20 a 29 anos,63
Nordeste,1997,20 a 29 anos,73
Nordeste,1998,20 a 29 anos,79
Nordeste,1999,20 a 29 anos,77
Nordeste,2000,20 a 29 anos,81
Nordeste,2001,20 a 29 anos,105
Nordeste,2002,20 a 29 anos,89
Nordeste,2003,20 a 29 anos,114
Nordeste,2004,20 a 29 anos,87
Nordeste,2005,20 a 29 anos,126
Nordeste,2006,20 a 29 anos,133
Nordeste,2007,20 a 29 anos,122
Nordeste,2008,20 a 29 anos,130
Nordeste,2009,20 a 29 anos,127
Nordeste,2010,20 a 29 anos,108
Nordeste,2011,20 a 29 anos,124
Nordeste,2012,20 a 29 anos,120
Nordeste,2013,20 a 29 anos,119
Nordeste,2014,20 a 29 anos,128
Nordeste,2015,20 a 29 anos,127
Nordeste,2016,20 a 29 anos,134
Nordeste,2017,20 a 29 anos,113
Nordeste,2018,20 a 29 anos,127
Nordeste,2019,20 a 29 anos,112
Nordeste,2020,20 a 29 anos,118
Nordeste,2021,20 a 29 anos,110
Nordeste,2022,20 a 29 anos,100
Sudeste,1996,20 a 29 anos,164
Sudeste,1997,20 a 29 anos,177
Sudeste,1998,20 a 29 anos,173
Sudeste,1999,20 a 29 anos,178
Sudeste,2000,20 a 29 anos,186
Sudeste,2001,20 a 29 anos,181
Sudeste,2002,20 a 29 anos,192
Sudeste,2003,20 a 29 anos,190
Sudeste,2004,20 a 29 anos,201
Sudeste,2005,20 a 29 anos,190
Sudeste,2006,20 a 29 anos,200
Sudeste,2007,20 a 29 anos,206
Sudeste,2008,20 a 29 anos,187
Sudeste,2009,20 a 29 anos,191
Sudeste,2010,20 a 29 anos,193
Sudeste,2011,20 a 29 anos,175
Sudeste,2012,20 a 29 anos,198
Sudeste,2013,20 a 29 anos,175
Sudeste,2014,20 a 29 anos,169
Sudeste,2015,20 a 29 anos,169
Sudeste,2016,20 a 29 anos,202
Sudeste,2017,20 a 29 anos,149
Sudeste,2018,20 a 29 anos,159
Sudeste,2019,20 a 29 anos,172
Sudeste,2020,20 a 29 anos,153
Sudeste,2021,20 a 29 anos,141
Sudeste,2022,20 a 29 anos,169
Nordeste,1979,30 a 39 anos,123
Nordeste,1980,30 a 39 anos,157
Nordeste,1981,30 a 39 anos,137
Nordeste,1982,30 a 39 anos,131
Nordeste,1983,30 a 39 anos,149
Nordeste,1984,30 a 39 anos,164
Nordeste,1985,30 a 39 anos,165
Nordeste,1986,30 a 39 anos,170
Nordeste,1987,30 a 39 anos,161
Nordeste,1988,30 a 39 anos,161
Nordeste,1989,30 a 39 anos,204
Nordeste,1990,30 a 39 anos,174
Nordeste,1991,30 a 39 anos,193
Nordeste,1992,30 a 39 anos,197
Nordeste,1993,30 a 39 anos,208
Nordeste,1994,30 a 39 anos,174
Nordeste,1995,30 a 39 anos,153
Sudeste,1979,30 a 39 anos,29
Sudeste,1980,30 a 39 anos,32
Sudeste,1981,30 a 39 anos,34
Sudeste,1982,30 a 39 anos,36
Sudeste,1983,30 a 39 anos,43
Sudeste,1984,30 a 39 anos,39
Sudeste,1985,30 a 39 anos,49
Sudeste,1986,30 a 39 anos,49
Sudeste,1987,30 a 39 anos,51
Sudeste,1988,30 a 39 anos,47
Sudeste,1989,30 a 39 anos,57
Sudeste,1990,30 a 39 anos,46
Sudeste,1991,30 a 39 anos,41
Sudeste,1992,30 a 39 anos,50
Sudeste,1993,30 a 39 anos,53
Sudeste,1994,30 a 39 anos,55
Sudeste,1995,30 a 39 anos,67
Nordeste,1996,30 a 39 anos,70
Nordeste,1997,30 a 39 anos,70
Nordeste,1998,30 a 39 anos,75
Nordeste,1999,30 a 39 anos,79
Nordeste,2000,30 a 39 anos,90
Nordeste,2001,30 a 39 anos,92
Nordeste,2002,30 a 39 anos,89
Nordeste,2003,30 a 39 anos,95
Nordeste,2004,30 a 39 anos,83
Nordeste,2005,30 a 39 anos,90
Nordeste,2006,30 a 39 anos,101
Nordeste,2007,30 a 39 anos,107
Nordeste,2008,30 a 39 anos,84
Nordeste,2009,30 a 39 anos,94
Nordeste,2010,30 a 39 anos,92
Nordeste,2011,30 a 39 anos,105
Nordeste,2012,30 a 39 anos,115
Nordeste,2013,30 a 39 anos,129
Nordeste,2014,30 a 39 anos,116
Nordeste,2015,30 a 39 anos,109
Nordeste,2016,30 a 39 anos,116
Nordeste,2017,30 a 39 anos,116
Nordeste,2018,30 a 39 anos,125
Nordeste,2019,30 a 39 anos,122
Nordeste,2020,30 a 39 anos,98
Nordeste,2021,30 a 39 anos,95
Nordeste,2022,30 a 39 anos,123
Sudeste,1996,30 a 39 anos,197
Sudeste,1997,30 a 39 anos,208
Sudeste,1998,30 a 39 anos,203
Sudeste,1999,30 a 39 anos,191
Sudeste,2000,30 a 39 anos,193
Sudeste,2001,30 a 39 anos,207
Sudeste,2002,30 a 39 anos,196
Sudeste,2003,30 a 39 anos,205
Sudeste,2004,30 a 39 anos,181
Sudeste,2005,30 a 39 anos,197
Sudeste,2006,30 a 39 anos,188
Sudeste,2007,30 a 39 anos,188
Sudeste,2008,30 a 39 anos,192
Sudeste,2009,30 a 39 anos,184
Sudeste,2010,30 a 39 anos,200
Sudeste,2011,30 a 39 anos,207
Sudeste,2012,30 a 39 anos,189
Sudeste,2013,30 a 39 anos,195
Sudeste,2014,30 a 39 anos,203
Sudeste,2015,30 a 39 anos,219
Sudeste,2016,30 a 39 anos,213
Sudeste,2017,30 a 39 anos,209
Sudeste,2018,30 a 39 anos,183
Sudeste,2019,30 a 39 anos,201
Sudeste,2020,30 a 39 anos,164
Sudeste,2021,30 a 39 anos,177
Sudeste,2022,30 a 39 anos,172
Nordeste,1979,40 a 49 anos,142
Nordeste,1980,40 a 49 anos,154
Nordeste,1981,40 a 49 anos,171
Nordeste,1982,40 a 49 anos,154
Nordeste,1983,40 a 49 anos,160
Nordeste,1984,40 a 49 anos,152
Nordeste,1985,40 a 49 anos,150
Nordeste,1986,40 a 49 anos,148
Nordeste,1987,40 a 49 anos,159
Nordeste,1988,40 a 49 anos,169
Nordeste,1989,40 a 49 anos,155
Nordeste,1990,40 a 49 anos,182
Nordeste,1991,40 a 49 anos,196
Nordeste,1992,40 a 49 anos,172
Nordeste,1993,40 a 49 anos,169
Nordeste,1994,40 a 49 anos,192
Nordeste,1995,40 a 49 anos,211
Sudeste,1979,40 a 49 anos,29
Sudeste,1980,40 a 49 anos,35
Sudeste,1981,40 a 49 anos,44
Sudeste,1982,40 a 49 anos,30
Sudeste,1983,40 a 49 anos,45
Sudeste,1984,40 a 49 anos,41
Sudeste,1985,40 a 49 anos,41
Sudeste,1986,40 a 49 anos,34
Sudeste,1987,40 a 49 anos,38
Sudeste,1988,40 a 49 anos,53
Sudeste,1989,40 a 49 anos,42
Sudeste,1990,40 a 49 anos,43
Sudeste,1991,40 a 49 anos,48
Sudeste,1992,40 a 49 anos,69
Sudeste,1993,40 a 49 anos,73
Sudeste,1994,40 a 49 anos,62
Sudeste,1995,40 a 49 anos,63
Nordeste,1996,40 a 49 anos,57
Nordeste,1997,40 a 49 anos,71
Nordeste,1998,40 a 49 anos,77
Nordeste,1999,40 a 49 anos,71
Nordeste,2000,40 a 49 anos,74
Nordeste,2001,40 a 49 anos,76
Nordeste,2002,40 a 49 anos,109
Nordeste,2003,40 a 49 anos,100
Nordeste,2004,40 a 49 anos,87
Nordeste,2005,40 a 49 anos,98
Nordeste,2006,40 a 49 anos,112
Nordeste,2007,40 a 49 anos,125
Nordeste,2008,40 a 49 anos,109
